UUID,Team Name,Chapter,Walkside UUID2,Goal,Total Raised,Walk Date,Number of Walkers,City,State,Postal Code,URL
Ohana Open 2019New England,Ohana Open 2019,New England,Boston Common,50000,27229,10/17/2019,2,Boston,MA,02111,https://pages.lightthenight.org/ma/BostonL19/ohanaopen2019
Team SlalomNew England,Team Slalom,New England,Boston Common,1000,900,10/17/2019,22,Boston,MA,02111,https://pages.lightthenight.org/ma/BostonL19/teamslalom
SalesforceWestern Pennsylvania & West Virginia,Salesforce,Western Pennsylvania & West Virginia,Heinz Field,5000,375,10/17/2019,1,Pittsburgh,PA,15212,https://pages.lightthenight.org/wpa/Pttsbrgh19/salesforce
Salesforce HQ- Ping Pong TMPGreater Bay Area,Salesforce HQ- Ping Pong TMP,Greater Bay Area,Oracle Park,10000,2821.99,11/13/2019,6,San Francisco,CA,94107,https://pages.lightthenight.org/gba/SanFran19/salesforcehqpingpongtmp
Salesforce HQ- Light The RunwayGreater Bay Area,Salesforce HQ- Light The Runway,Greater Bay Area,Oracle Park,25000,10229.95,11/13/2019,45,San Francisco,CA,94107,https://pages.lightthenight.org/gba/SanFran19/salesforcehqlighttherunway
Team BurnsieMichigan,Team Burnsie,Michigan,Riverside Park,0,0,09/21/2019,1,Ann Arbor,MI,48105,https://pages.lightthenight.org/mi/AnnArbor19/TeamBurnsie
SalesforceNorth Carolina,Salesforce,North Carolina,Romare Bearden Park,5000,990,11/09/2019,16,Charlotte,NC,28202,https://pages.lightthenight.org/nc/Charlnc19/Salesforce
Salesforce-DallasNorth Texas,Salesforce-Dallas,North Texas,Trinity Groves,20000,175,10/26/2019,49,Dallas,TX,75212,https://pages.lightthenight.org/ntx/DallasL19/salesforcedallas
Team KahnRocky Mountain,Team Kahn,Rocky Mountain,Washington Park,10000,9285,09/26/2019,7,Denver,CO,80209,https://pages.lightthenight.org/rm/DenverL19/TeamKahn
Salesforce San DiegoSan Diego & Hawaii,Salesforce San Diego,San Diego & Hawaii,Waterfront Park,0,0,11/02/2019,1,San Diego,CA,92101,https://pages.lightthenight.org/sd/SanDiego19/salesforcesandiego
Salesforce - ColoradoRocky Mountain,Salesforce - Colorado,Rocky Mountain,Washington Park,15000,2575,09/26/2019,44,Denver,CO,80209,https://pages.lightthenight.org/rm/DenverL19/salesforcecolorado
Salesforce PhiladelphiaEastern Pennsylvania,Salesforce Philadelphia,Eastern Pennsylvania,Philadelphia Museum of Art,10000,700,10/26/2019,5,Philadelphia,PA,19130,https://pages.lightthenight.org/epa/Phi19/salesforcephiladelphia
Salesforce - AtlantaGeorgia,Salesforce - Atlanta,Georgia,Piedmont Park,50000,15715.01,10/05/2019,81,Atlanta,GA,30306,https://pages.lightthenight.org/ga/Atlanta19/salesforceatlanta
Salesforce - ChicagoIllinois,Salesforce - Chicago,Illinois,Soldier Field South Lot,50000,337,10/19/2019,2,Chicago,IL,60605,https://pages.lightthenight.org/il/Metrochicago19/salesforcechicago
Salesforce - Los AngelesCalifornia Southland,Salesforce - Los Angeles,California Southland,Centerpiece Park at Century Plaza Towers,10000,315,11/09/2019,1,Los Angeles,CA,90067,https://pages.lightthenight.org/calso/LAWALK19/salesforce
Salesforce ManhattanNew York City,Salesforce Manhattan,New York City,Seaport District NYC,10000,2205,10/17/2019,11,New York,NY,10038,https://pages.lightthenight.org/nyc/Manhattn19/salesforcemanhattan
SalesforcePalm Beach - Treasure Coast,Salesforce,Palm Beach - Treasure Coast,Sunset Cove Amphitheatre,5000,1560,11/23/2019,3,Boca Raton,FL,33498,https://pages.lightthenight.org/pb/BocaRatn19/salesforce
Salesforce Team CTConnecticut Westchester Hudson Valley,Salesforce Team CT,Connecticut Westchester Hudson Valley,Calf Pasture Beach,5000,250,11/02/2019,3,Norwalk,CT,06851,https://pages.lightthenight.org/ctwhv/Ffield19/SalesforceTeamCT
Salesforce UtahUtah,Salesforce Utah,Utah,Salt Lake City Library Square,0,800,10/12/2019,1,Salt Lake City,UT,84111,https://pages.lightthenight.org/ut/saltlake19/salesforceutah
Salesforce HQ- Wine and Silent AuctionGreater Bay Area,Salesforce HQ- Wine and Silent Auction,Greater Bay Area,Oracle Park,13000,1010,11/13/2019,1,San Francisco,CA,94107,https://pages.lightthenight.org/gba/SanFran19/salesforcehqwineandsilentauction
Salesforce HQGreater Bay Area,Salesforce HQ,Greater Bay Area,Oracle Park,300000,1475.06,11/13/2019,138,San Francisco,CA,94107,https://pages.lightthenight.org/gba/SanFran19/salesforcehq
Team Salesforce Hockey ClubNew England,Team Salesforce Hockey Club,New England,Boston Common,25000,11710.76,10/17/2019,24,Boston,MA,02111,https://pages.lightthenight.org/ma/BostonL19/teamsalesforcehockey
Salesforce BellevueWashington/Alaska,Salesforce Bellevue,Washington/Alaska,"Seattle Center, Fisher Pavilion",20000,635.01,10/26/2019,6,Seattle,WA,98109,https://pages.lightthenight.org/wa/SeattleL19/salesforcebellevue
Salesforce PortlandOregon SW Washington Idaho Montana,Salesforce Portland,Oregon SW Washington Idaho Montana,OMSI Bridge Lot,25000,23187.92,10/12/2019,52,Portland,OR,97214,https://pages.lightthenight.org/oswim/PortlndL19/SalesforcePortland
SalesforceTampaSuncoast,SalesforceTampa,Suncoast,Julian B. Lane Riverfront Park,25000,5415,11/16/2019,4,Tampa,FL,33607,https://pages.lightthenight.org/sun/Tampa19/SalesforceTampa
"Salesforce.com - ""BostonStrongNew England","Salesforce.com - ""BostonStrong",New England,Boston Common,100000,19806.01,10/17/2019,51,Boston,MA,02111,https://pages.lightthenight.org/ma/BostonL19/salesforce
Salesforce - IndianapolisIndiana,Salesforce - Indianapolis,Indiana,Historic Military Park,50000,37974.37,10/05/2019,107,Indianapolis,IN,46202,https://pages.lightthenight.org/in/Indianap19/salesforce
Salesforce HQ- SF TMP Wine Tasting FundraiserGreater Bay Area,Salesforce HQ- SF TMP Wine Tasting Fundraiser,Greater Bay Area,Oracle Park,50000,38178.52,11/13/2019,4,San Francisco,CA,94107,https://pages.lightthenight.org/gba/SanFran19/winetasting
SalesforceNational Capital Area,Salesforce,National Capital Area,Reston Town Center,175000,113120,10/18/2019,64,Reston,VA,20170,https://pages.lightthenight.org/nca/NorthVA19/salesforce
Salesforce - St. LouisGateway,Salesforce - St. Louis,Gateway,Forest Park - Cricket Field,10000,115,09/28/2019,1,St. Louis,MO,63112,#N/A
